수행부서명,프로젝트명,시작일,종료일,포트폴리오,수주계약금액,수주부서명,고객명
Cloud사업수행팀,2021년 EPC G-Cloud DR 및 Watch서비스용 스토리지 구축,2021.12.16,2022.03.11,IT 자산공급,"243,019,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,kt M mobile 네트워크 장비 임대,2021.10.22,2022.03.21,IT 자산공급,"4,316,000",그룹영업팀,주식회사 케이티엠모바일
Cloud사업수행팀,고용노동부 K-DT 인프라 구축,2022.01.04,2022.08.19,IT 자산공급,"1,783,160,200",공공영업팀,주식회사 케이티
Cloud사업수행팀,2022년 EPC 긴급사업 대응 인프라 선행투자(3차),2022.01.19,2022.07.22,IT 자산공급,"309,433,000",Cloud사업수행팀,(주)케이티클라우드
Cloud사업수행팀,2021년 EPC 긴급사업 대응 인프라 선행투자(2차),2022.02.08,2022.05.22,IT 자산공급,"1,536,478,240",Cloud사업수행팀,(주)케이티클라우드
Cloud사업수행팀,2022년 EPC AI GPU 상품 개발 환경 구축,2022.02.03,2022.06.24,IT 자산공급,"194,070,970",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,목동 1센터 Cloud 인프라 공사,2022.02.21,2022.03.10,IT 자산공급,"58,000,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,kt M mobile 네트워크 증설,2022.03.02,2022.05.01,IT 자산공급,"16,660,800",그룹영업팀,주식회사 케이티엠모바일
Cloud사업수행팀,2022년 VMware NAS SSD HDD 스토리지 구축,2022.03.23,2022.08.17,IT 자산공급,"438,921,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 EPC Hybrid 네트워크 증설,2022.03.29,2022.08.22,IT 자산공급,"877,829,360",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 천안 민간 클라우드 EPC 보안 증설,2022.03.28,2022.08.21,IT 자산공급,"970,167,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 천안 민간 클라우드 EPC 백본 증설,2022.03.16,2022.08.21,IT 자산공급,"1,102,162,800",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 HAC 인프라 1차 증설 구축 용역,2022.03.21,2022.10.17,SI,"230,900,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 EPC M1-M2센터간 SDN 구축,2022.03.29,2022.08.22,IT 자산공급,"209,076,200",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 EPC(D1) 인프라 증설,2022.03.31,2022.09.19,IT 자산공급,"2,458,346,540",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 EPC NW 예비장비구매,2022.03.29,2022.08.22,IT 자산공급,"391,162,920",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 천안 공공 클라우드 EPC 보안 증설,2022.03.28,2022.09.19,IT 자산공급,"912,456,000",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 천안 공공 클라우드 EPC 백본 증설,2022.03.29,2022.09.19,IT 자산공급,"1,102,162,800",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 G-Cloud(D1) 인프라 증설,2022.03.23,2022.09.19,IT 자산공급,"2,223,742,800",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 G-Cloud(G1) 인프라 증설,2022.03.28,2022.09.19,IT 자산공급,"942,243,400",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 남청주 HAC 인프라 1차 증설(서버 등),2022.03.22,2022.10.17,IT 자산공급,"6,159,047,500",Cloud사업수행팀,주식회사 케이티
Cloud사업수행팀,2022년 남청주 HAC 인프라 1차 증설(네트워크),2022.03.31,2022.10.17,IT 자산공급,"486,234,380",Cloud사업수행팀,주식회사 케이티
Cloud사업컨설팅팀,kt sat ICBS Cloud 구축,2019.11.01,2022.10.31,ITO,"574,557,480",그룹영업팀,주식회사 케이티샛
Cloud사업컨설팅팀,[총판] kt telecop 차세대 시스템 1단계 Cloud 구축,2016.07.25,2022.01.31,ITO,"547,249,020",그룹영업팀,주식회사 케이티텔레캅
Cloud사업컨설팅팀,kt sat GNOC Cloud 구축,2020.01.19,2023.01.18,ITO,"64,337,280",그룹영업팀,주식회사 케이티샛
Cloud사업컨설팅팀,스토리위즈 블라이스 서비스 Cloud,2020.04.23,2023.08.31,ITO,"370,166,400",그룹영업팀,주식회사 스토리위즈
Cloud사업컨설팅팀,kt그룹희망나눔재단 목소리 복원 서비스 Cloud,2020.07.01,2022.06.30,ITO,"165,716,690",그룹영업팀,(주)케이티클라우드
Cloud사업컨설팅팀,신영증권 KT Cloud 서비스 제공 및 이용,2020.11.06,2023.11.05,ITO,"640,319,840",금융영업2팀,신영증권(주)
Cloud사업컨설팅팀,Kt estate 통합관제플랫폼 Cloud 구축 (2021년도),2021.01.10,2022.01.09,ITO,"83,760,000",그룹영업팀,(주)케이티에스테이트
Cloud사업컨설팅팀,Kt estate 호텔 스마트 컨시어지 Cloud 구축 (2021년도),2021.01.10,2022.01.09,ITO,"16,512,000",그룹영업팀,(주)케이티에스테이트
Cloud사업컨설팅팀,KT-cloud 메이저 월드 스포츠예약 매칭 시스템(3년 약정),2021.01.04,2022.01.03,ITO,"4,469,088",유통영업팀,엠더블유홀딩스 주식회사
Cloud사업컨설팅팀,kt cs LMS Cloud,2021.01.27,2024.01.26,ITO,"96,369,408",그룹영업팀,(주)케이티씨에스
Cloud사업컨설팅팀,kt희망나눔재단 Cloud Ent 구축,2021.01.28,2022.01.27,ITO,"20,538,559",그룹영업팀,(재)케이티그룹희망나눔재단
Cloud사업컨설팅팀,경기도말산업협회 승마인관리시스템 cloud 청약_1년차,2021.02.16,2022.02.15,ITO,"15,760,320",전략영업팀,사단법인 경기도말산업협회
Cloud사업컨설팅팀,fn이노에듀 SLP4.0 Cloud서비스,2021.02.12,2024.03.30,ITO,"149,866,560",유통영업팀,주식회사 애프앤이노에듀
Cloud사업컨설팅팀,부머스 국책과제 cloudpack 청약 2년차,2021.03.30,2022.03.29,ITO,"10,140,288",그룹영업팀,주식회사 부머스
Cloud사업컨설팅팀,헬스허브 광주사업장 G Cloud 서비스,2021.03.02,2022.05.02,ITO,"120,930,960",유통영업팀,(주)헬스허브
Cloud사업컨설팅팀,kt powertel 영업전산 Cloud 청약_1년차,2021.02.23,2022.02.22,ITO,"180,626,988",그룹영업팀,아이디스파워텔 주식회사
Cloud사업컨설팅팀,kt cs 홈페이지 Cloud Ent전환_6년차,2021.05.03,2022.05.02,ITO,"38,400,000",그룹영업팀,(주)케이티씨에스
Cloud사업컨설팅팀,멀티캠퍼스 LMS 중계서버 Cloud 서비스,2021.06.07,2022.06.06,ITO,"26,993,640",유통영업팀,넥스젠어쏘시에이트(주)
Cloud사업컨설팅팀,kt is 114.co.kr M2 존 Cloud 구축 (2021년도),2021.06.19,2022.06.18,ITO,"68,400,000",그룹영업팀,주식회사 케이티아이에스
Cloud사업컨설팅팀,kt희망지음 cloudpack 공급_3년차,2021.07.18,2022.07.17,ITO,"26,025,600",그룹영업팀,주식회사 케이티희망지음
Cloud사업컨설팅팀,소프트엔 Cloud 서비스_3년 약정 (2021년도),2021.07.16,2022.07.15,ITO,"2,579,400",그룹영업팀,(주)소프트엔
Cloud사업컨설팅팀,구리시체육회 G-Cloud 서비스 (2021년도),2021.07.13,2022.07.12,ITO,"8,983,104",그룹영업팀,구리시체육회(주민편익시설)
Cloud사업컨설팅팀,전기안전공사 관제시스템용 Cloud서비스(2년차),2021.07.20,2022.07.19,ITO,"38,294,640",유통영업팀,한국전기안전공사
Cloud사업컨설팅팀,kt telecop 목동 M2 존 통합 Cloud 구축,2021.07.01,2022.06.30,ITO,"209,712,000",그룹영업팀,주식회사 케이티텔레캅
Cloud사업컨설팅팀,kt cs 루트리 쇼핑몰 Cloud_2년차,2021.07.30,2022.07.29,ITO,"17,859,744",그룹영업팀,(주)케이티씨에스
Cloud사업컨설팅팀,kt sat VNMS 클라우드 청약,2021.07.27,2022.07.26,ITO,"36,261,792",그룹영업팀,주식회사 케이티샛
Cloud사업컨설팅팀,뉴아이텍 홈페이지 Cloud 전환_2021년도,2021.09.01,2022.08.31,ITO,"1,357,440",그룹영업팀,뉴아이텍주식회사
Cloud사업컨설팅팀,지니뮤직 10jam Cloudpack 청약 4년차,2021.09.07,2022.09.06,ITO,"43,200,000",그룹영업팀,(주) 지니뮤직
Cloud사업컨설팅팀,해양환경교육원 온라인교육 플랫폼 cloud 청약,2021.09.10,2022.09.09,ITO,"61,061,400",전략영업팀,주식회사 케이브레인컴퍼니
Cloud사업컨설팅팀,이투스 메타버스 교육플랫폼용 클라우드 서비스_1년차,2021.09.23,2022.09.22,ITO,"267,778,728",전략영업팀,이투스교육 주식회사 서초지점
Cloud사업컨설팅팀,바이오안정성정보센터 Cloud 시스템 구축_6년차,2021.11.01,2022.10.31,ITO,"1,202,580",유통영업팀,한국생명공학연구원
Cloud사업컨설팅팀,[테크]수원도시재단 G-cloud서비스_3년차,2021.10.07,2022.10.06,ITO,"5,275,176",유통영업팀,수원도시재단
Cloud사업컨설팅팀,kt estate 주차 플랫폼 Cloud 구축,2021.11.01,2022.10.31,ITO,"23,552,640",그룹영업팀,(주)케이티에스테이트
Cloud사업컨설팅팀,kt estate 인사 복무관리시스템 Cloud 구축,2021.10.10,2022.10.09,ITO,"13,647,360",그룹영업팀,(주)케이티에스테이트
Cloud사업컨설팅팀,kt commerce cloudpack 청약 2년차,2021.10.26,2022.10.25,ITO,"244,393,728",그룹영업팀,주식회사 케이티커머스
Cloud사업컨설팅팀,KMI HW증설 사업,2021.11.15,2022.01.28,IT 자산공급,"1,155,000,000",공공영업팀,(재)한국의학연구소
Cloud사업컨설팅팀,한국교육문화연구원 Cloud 서비스 (2021년),2021.11.05,2022.11.04,ITO,"3,958,440",그룹영업팀,(주)한국교육문화연구원
Cloud사업컨설팅팀,kt sat MVSAT APMS Cloud 구축,2021.11.13,2022.11.12,ITO,"23,544,000",그룹영업팀,주식회사 케이티샛
Cloud사업컨설팅팀,kt alpha 신규사업용 Cloud 청약,2021.11.11,2022.11.10,ITO,"87,167,700",그룹영업팀,주식회사 케이티알파
Cloud사업컨설팅팀,민트소프트앤솔루션(한국금융IT 1차협력사) 클라우드 청약,2022.01.01,2022.12.31,ITO,"5,026,320",유통영업팀,주식회사 민트소프트앤솔루션
Cloud사업컨설팅팀,KT Cloud 메이저월드 스포츠예약 매칭시스템_2년차,2022.01.04,2023.01.03,ITO,"4,469,088",그룹영업팀,엠더블유홀딩스 주식회사
Cloud사업컨설팅팀,[총판] 부머스 인터넷방송관리시스템 Cloud 서비스_7년차,2022.01.01,2022.12.31,ITO,"32,400,000",그룹영업팀,주식회사 부머스
Cloud사업컨설팅팀,kt estate 통합관제플랫폼 Cloud 구축 (2022년도),2022.01.10,2023.01.09,ITO,"83,760,000",그룹영업팀,(주)케이티에스테이트
Cloud사업컨설팅팀,한국정밀화학산업진흥회 Cloud 서비스 청약,2022.01.01,2022.02.28,ITO,"3,802,300",유통영업팀,넥스젠어쏘시에이트(주)
Cloud사업컨설팅팀,kt telecop 영상플랫폼 Cloud 청약 (2022년도),2022.01.01,2022.12.31,ITO,"21,441,720",그룹영업팀,주식회사 케이티텔레캅
Cloud사업컨설팅팀,해양환경교육원 온라인교육 플랫폼 Cloud 청약_1년차,2022.01.01,2022.12.31,ITO,"71,818,680",전략영업팀,해양환경공단 해양환경교육원
Cloud사업컨설팅팀,kt M mobile FDH 시스템 Cloud 구축 (2022년),2022.01.01,2022.12.31,ITO,"56,016,000",그룹영업팀,주식회사 케이티엠모바일
Cloud사업컨설팅팀,케이아이비(KIB) kt클라우드 서비스,2022.03.04,2023.03.03,ITO,"6,494,400",유통영업팀,주식회사 케이아이비
Cloud사업컨설팅팀,아이디스파워텔 영업전산 Cloud 청약_2년차,2022.02.23,2023.02.22,ITO,"293,847,120",그룹영업팀,아이디스파워텔 주식회사
Cloud사업컨설팅팀,kt telecop 모바일 시스템 Cloud 구축 (2022년도),2022.02.01,2023.01.31,ITO,"85,680,000",그룹영업팀,주식회사 케이티텔레캅
Cloud사업컨설팅팀,부머스 국책과제 Cloudpack 청약 3년차,2022.03.30,2023.03.29,ITO,"10,140,288",그룹영업팀,주식회사 부머스
Cloud사업컨설팅팀,한국정밀화학산업진흥회 Cloud 서비스,2022.03.01,2022.06.30,ITO,"5,246,200",유통영업팀,넥스젠어쏘시에이트(주)
Cloud사업컨설팅팀,경기도말산업협회 승마인관리시스템 cloud 청약_2년차,2022.02.16,2023.02.15,ITO,"15,760,320",전략영업팀,사단법인 경기도말산업협회
Cloud사업컨설팅팀,kt 희망나눔재단 Cloud Ent 구축,2022.01.28,2023.01.27,ITO,"17,500,992",그룹영업팀,(재)케이티그룹희망나눔재단
Cloud사업컨설팅팀,kt NexR 홈페이지 Cloud Ent전환 7년차,2022.04.22,2023.04.21,ITO,"8,400,000",그룹영업팀,(주)케이티넥스알
